Province,District,Station,Value ,Dates,Dates,,,,,
Eastern,NYAGATARE,GARDEN FRESH,32,10/10/2017,10/10/2017-02/06/2018-02/10/2018-31/01/2019-19/03/2019-24/03/2019-17/09/2019,,,,,
Eastern,GATSIBO,KABARORE,32.5,10/06/2018,10/06/2018,,,,,
Eastern,GATSIBO,NGARAMA,32.5,08/28/2015,08/28/2015,,,,,
Eastern,GATSIBO,NYAGAHANGA EFA,32,08/24/2016,08/24/2016-28/08/2021,,,,,
Eastern,GATSIBO,GABIRO,32,08/28/2021,08/28/2021,,,,,
Eastern,KAYONZA,KAYONZA,35.2,01/22/2022,01/22/2022,,,,,
Eastern,KAYONZA,KAWANGIRE,32.3,02/18/2016,02/18/2016,,,,,
Eastern,KAYONZA,RUKARA,34,10/04/2004,10/04/2004-20/10/2004,,,,,
Eastern,KAYONZA,RWINKWAVU,34.2,02/17/2019,02/17/2019,,,,,
Eastern,KIREHE,GAHARA,33,09/24/2016,09/24/2016,,,,,
Eastern,KIREHE,KIREHE,32.7,02/24/2012,02/24/2012,,,,,
Eastern,KIREHE,MPANGA,29.35,08/29/2021,08/29/2021,,,,,
Eastern,KIREHE,BUKORA,34,12/27/2004,12/27/2004,,,,,
Eastern,NGOMA,JARAMA,35,03/09/2015,03/09/2015,,,,,
Eastern,NGOMA,KIBUNGO-KAZO,32,08/19/2015,08/19/2015,,,,,
Eastern,NGOMA,ZAZA,32.1,08/29/2021,08/29/2021,,,,,
Eastern,BUGESERA,KARAMA KILIMBI,34.6,09/18/2018,09/18/2018,,,,,
Eastern,BUGESERA,NYAMATA,35,12/31/2010,12/31/2010-02/03/2012,,,,,
Eastern,BUGESERA,JURU,33,08/06/2017,08/06/2017,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
